date,city_code,plans,plan_revenue_crores,City,Month,Gen,Description
01-01-2022,400001,p1,6.26,Lucknow,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,110001,p1,4.58,Delhi,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,700001,p1,4.29,Raipur,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,560001,p1,4.26,Lucknow,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,600001,p1,3.6,Lucknow,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,500001,p1,3.26,Lucknow,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,411001,p1,2.27,Lucknow,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,380001,p1,2.68,Ahmedabad,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,302001,p1,2.46,Delhi,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,226001,p1,1.64,Delhi,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,800008,p1,1.8,Raipur,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,641001,p1,0.81,Coimbatore,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,160017,p1,0.73,Delhi,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,122001,p1,0.48,Delhi,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,492001,p1,0.49,Lucknow,Jan,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,400001,p1,7.86,Lucknow,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,110001,p1,5.43,Delhi,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,700001,p1,5.36,Raipur,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,560001,p1,5.47,Lucknow,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,600001,p1,7.02,Lucknow,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,500001,p1,4.16,Lucknow,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,411001,p1,3.44,Lucknow,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,380001,p1,2.22,Ahmedabad,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,302001,p1,1.51,Delhi,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,226001,p1,3.17,Delhi,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,800008,p1,1.4,Raipur,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,641001,p1,1.33,Coimbatore,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,160017,p1,0.54,Delhi,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,122001,p1,0.9,Delhi,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-02-2022,492001,p1,0.47,Lucknow,Feb,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,400001,p1,5.66,Lucknow,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,110001,p1,5.84,Delhi,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,700001,p1,7.54,Raipur,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,560001,p1,4.97,Lucknow,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,600001,p1,3.33,Lucknow,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,500001,p1,3.37,Lucknow,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,411001,p1,4.18,Lucknow,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,380001,p1,2.99,Ahmedabad,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,302001,p1,1.88,Delhi,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,226001,p1,1.8,Delhi,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,800008,p1,1.06,Raipur,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,641001,p1,1.96,Coimbatore,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,160017,p1,0.94,Delhi,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,122001,p1,0.66,Delhi,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-03-2022,492001,p1,0.38,Lucknow,Mar,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,400001,p1,5.6,Lucknow,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,110001,p1,4.66,Delhi,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
